ID,Title,Epic,Description,Acceptance Criteria,Dependencies,Priority,Labels
US-001,Inicializar aplicación React Native + Expo,Foundation,"Como desarrollador, quiero una aplicación React Native + Expo + TypeScript configurada para construir el producto sobre una base estable.",Proyecto React Native + Expo creado; TypeScript configurado; Android ejecuta; estructura inicial definida; ESLint y Prettier configurados; scripts básicos; README actualizado.,Ninguna,P0,"feature,mobile,architecture"
US-002,Definir arquitectura del proyecto,Foundation,"Definir una arquitectura mantenible que separe UI, dominio, infraestructura y datos.",Separación clara de capas; UI no depende directamente de proveedores; interfaces para servicios/adapters; estructura documentada; acoplamiento mínimo.,US-001,P0,"architecture,mobile,backend"
US-003,Configurar Supabase,Foundation,"Configurar Supabase como backend, PostgreSQL y plataforma de autenticación/servicios.",Proyecto Supabase creado; PostgreSQL disponible; cliente integrado; variables de entorno; secrets fuera del repo; conexión funcionando.,US-001,P0,"backend,database,architecture"
US-004,Implementar autenticación,Foundation,Permitir que cada usuario tenga una sesión segura y persistente.,Registro; login; logout; persistencia de sesión; sesión expirada manejada; usuario identificado correctamente.,US-003,P0,"feature,security,backend"
US-005,Implementar seguridad y Row Level Security,Foundation,Garantizar aislamiento de los datos financieros por usuario.,RLS habilitado; usuario solo accede a sus datos; policies probadas; no hay acceso cruzado; secrets fuera del repositorio.,"US-003, US-004",P0,"security,database"
US-006,Modelo de cuentas,Financial Domain,Crear el modelo de cuentas financieras del usuario.,CRUD de cuentas; tipos CHECKING/SAVINGS/CREDIT_CARD/CASH/DIGITAL_WALLET/OTHER; cuenta pertenece a usuario; moneda; balance inicial.,US-005,P0,"feature,database,backend"
US-007,Modelo de categorías,Financial Domain,Crear categorías financieras reutilizables por las transacciones.,Categorías creadas; asociadas al usuario; editables; activas/inactivas; categorías predefinidas soportadas.,US-005,P0,"feature,database,classification"
US-008,Modelo canónico de transacción,Financial Domain,Definir el modelo único de transacción usado por toda la aplicación.,Modelo con id/account_id/type/amount/currency/occurred_at/posted_at/merchant/description/category_id/source_id/source_event_id/status/confidence_score/fingerprint/created_at/updated_at; dinero con numeric o minor units; constraints e índices.,"US-006, US-007",P0,"architecture,database,backend"
US-009,Registrar gasto manual,Manual Finance Engine,Permitir registrar manualmente un gasto.,"Cuenta, monto, categoría y fecha; merchant/description opcionales; transacción almacenada correctamente.",US-008,P0,"feature,mobile"
US-010,Registrar ingreso manual,Manual Finance Engine,Permitir registrar manualmente un ingreso.,"Cuenta, monto, fecha y categoría; transacción almacenada como ingreso y afecta correctamente los balances.",US-008,P0,"feature,mobile"
US-011,Registrar transferencia,Manual Finance Engine,Permitir transferir dinero entre dos cuentas propias.,"Cuenta origen, destino y monto; no cuenta como gasto; balances de ambas cuentas se actualizan correctamente.",US-008,P0,"feature,mobile,database"
US-012,Registrar pago con tarjeta de crédito,Manual Finance Engine,Representar correctamente compras y pagos de tarjetas de crédito.,Tarjeta como cuenta independiente; compra registrada en tarjeta; compra no reduce banco directamente; pago puede representar obligación/transferencia.,"US-008, US-011",P1,"feature,mobile"
US-013,Soporte para efectivo,Manual Finance Engine,Permitir administrar efectivo como una cuenta real.,Cuenta CASH; gastos en efectivo; retiros ATM representables; efectivo incluido en liquidez real.,"US-006, US-009",P1,"feature,mobile"
US-014,Quick Entry,Manual Finance Engine,Registrar transacciones cotidianas con un flujo de menos de tres interacciones principales.,Defaults inteligentes; última cuenta; últimas categorías; flujo optimizado para uso diario.,"US-009, US-010, US-011",P1,"feature,mobile"
US-015,Mostrar balances,Dashboard,Mostrar balances actuales por cuenta y agregados.,Balances correctos por cuenta; agregados correctos; actualización tras cambios de transacciones.,"US-006, US-008",P1,"feature,dashboard,mobile"
US-016,Calcular liquidez real,Dashboard,Separar balance contable de liquidez realmente disponible.,Distingue Balance/Real Liquidity/Projected Liquidity; incluye cash/checking/savings; no trata tarjetas como liquidez positiva; transfers no son gastos.,US-015,P1,"feature,dashboard,backend"
US-017,Dashboard financiero básico,Dashboard,Mostrar una vista financiera inicial centrada en liquidez.,Liquidez real; balances; gastos del mes; ingresos del mes; obligaciones de crédito.,US-016,P1,"feature,dashboard,mobile"
US-018,Modelo Raw Event,Android Ingestion,Crear una capa de eventos crudos para preservar toda entrada externa antes de procesarla.,Payload original; source; timestamp; metadata; nunca insertar directamente en transactions; permitir reprocesamiento.,US-008,P0,"architecture,database,ingestion"
US-019,FinancialSourceAdapter,Android Ingestion,Definir una interfaz común para todas las fuentes financieras.,"Interfaz FinancialSourceAdapter; adapters independientes para bancos, email, PDF, CSV y XLSX; proveedor desacoplado del dominio.",US-018,P0,"architecture,ingestion"
US-020,Android NotificationListenerService,Android Ingestion,Capturar notificaciones financieras en Android con permiso explícito.,Servicio Android; solicitud de permiso; recepción de notificaciones; sin root; datos enviados al pipeline.,US-019,P1,"mobile,ingestion"
US-021,Pipeline de ingestión de notificaciones,Android Ingestion,Procesar notificaciones hasta convertirlas en candidatos de transacción.,Notification → Raw Event → Provider Detection → Financial Detection → Parser → Candidate.,"US-018, US-020",P1,"ingestion,backend"
US-022,Parser BBVA,Android Ingestion,Interpretar notificaciones de BBVA y producir candidatos estructurados.,"Detecta BBVA; extrae monto, merchant y fecha; identifica tipo cuando sea posible; conserva payload; genera candidate.",US-021,P1,"ingestion,parsing"
US-023,Transaction Candidate,Normalization & Reconciliation,Crear una representación intermedia entre raw events y transactions confirmadas.,"Candidate contiene datos normalizados preliminares, source, confidence y estado; no se considera transacción final automáticamente.",US-021,P0,"architecture,reconciliation"
US-024,Normalización de merchants,Normalization & Reconciliation,Convertir variantes de merchants en un merchant canónico conservando el valor original.,raw_merchant y normalized_merchant; reglas configurables; variantes como Amazon/Uber se agrupan correctamente.,US-023,P1,"classification,reconciliation"
US-025,Fingerprint determinístico,Normalization & Reconciliation,Generar una identidad reproducible para detectar posibles duplicados.,"Fingerprint usa account, amount, currency, date, merchant y type; mismo evento produce fingerprint estable.",US-023,P0,"reconciliation,backend"
US-026,Detección de duplicados,Normalization & Reconciliation,Evitar que múltiples fuentes creen la misma transacción.,Coincidencias exactas y aproximadas; no crea duplicados; marca eventos como DUPLICATE cuando corresponda.,US-025,P0,"reconciliation,backend"
